scenario,sku,method,T,avg_regret,std_regret,avg_regret_per_period,avg_oracle_revenue,avg_realized_revenue,relative_regret,n_trials
real_semisynth,Binder Dividers SKU 10,dip,100,280.8976271033444,12.119362695493948,2.808976271033444,1300.8990640346992,1020.0014369313545,0.21592576616370904,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,100,392.33666237317595,9.990626637067713,3.9233666237317597,1300.8995615168394,908.5628991436633,0.30158874211296854,50
real_semisynth,Binder Dividers SKU 10,mymethod,100,281.1315297868856,12.41425963388215,2.8113152978688563,1300.8990640346992,1019.7675342478135,0.21610556695687416,50
real_semisynth,Binder Dividers SKU 10,dip,150,439.20959376402817,20.682091536122602,2.9280639584268546,1951.3751968976326,1512.1656031336047,0.22507695827142807,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,150,643.7125509399132,9.933862542767352,4.291417006266088,1951.336506189185,1307.623955249272,0.3298829027685419,50
real_semisynth,Binder Dividers SKU 10,mymethod,150,423.4145112275894,19.523125888146446,2.8227634081839295,1951.3433770906427,1527.9288658630537,0.2169861625578578,50
real_semisynth,Binder Dividers SKU 10,dip,200,573.4032231315254,41.742330073467166,2.8670161156576266,2601.8041887039876,2028.4009655724624,0.22038677069589518,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,200,806.9773589700911,12.413791207161406,4.034886794850456,2601.8095100049827,1794.8321510348915,0.31016004663944274,50
real_semisynth,Binder Dividers SKU 10,mymethod,200,562.1706822883441,21.066194272428213,2.8108534114417205,2601.839472473833,2039.6687901854891,0.21606662833577173,50
real_semisynth,Binder Dividers SKU 10,dip,250,700.9088752923756,64.85946955427222,2.803635501169502,3252.2609919058123,2551.3521166134365,0.21551433819019725,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,250,989.7983711722657,16.30364200026617,3.9591934846890626,3252.2967730218106,2262.498401849545,0.3043382693064056,50
real_semisynth,Binder Dividers SKU 10,mymethod,250,703.3791514133878,22.475897525612258,2.813516605653551,3252.2569786142417,2548.877827200854,0.21627416161717072,50
real_semisynth,Binder Dividers SKU 10,dip,300,862.8713490623132,58.60746322844843,2.8762378302077107,3902.699213067889,3039.827864005576,0.2210960419837262,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,300,1241.20910962668,16.308791696508383,4.1373636987556,3902.7685675818225,2661.5594579551425,0.31803297790617907,50
real_semisynth,Binder Dividers SKU 10,mymethod,300,800.3735586569128,23.391933711474614,2.667911862189709,3902.727045113564,3102.353486456652,0.20508058836936238,50
real_semisynth,Binder Dividers SKU 10,dip,350,1004.2576635270717,61.10621753562809,2.869307610077348,4553.102432046337,3548.8447685192646,0.2205655766623551,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,350,1492.605030143361,16.350556461335703,4.264585800409603,4553.225544204101,3060.6205140607403,0.32781267162206146,50
real_semisynth,Binder Dividers SKU 10,mymethod,350,831.8790407540531,24.79694752655856,2.3767972592972946,4553.17742438792,3721.2983836338676,0.1827029705230259,50
real_semisynth,Binder Dividers SKU 10,dip,400,1136.6749163754523,81.33799904133163,2.841687290938631,5203.522228894393,4066.8473125189416,0.2184433670838694,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,400,1744.015441973039,16.35581849236433,4.360038604932598,5203.697012139376,3459.681570166337,0.3351493059462408,50
real_semisynth,Binder Dividers SKU 10,mymethod,400,863.6171006389046,26.822209801741657,2.1590427515972617,5203.6155720399265,4339.998471401022,0.16596481594053433,50
real_semisynth,Binder Dividers SKU 10,dip,450,1268.777915602015,110.96771401992885,2.8195064791155886,5853.953964362538,4585.176048760523,0.21673862201958358,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,450,1995.4127694911235,16.325481058269737,4.434250598869164,5854.155395763058,3858.7426262719346,0.340854083056166,50
real_semisynth,Binder Dividers SKU 10,mymethod,450,894.9562283156955,29.62597665337289,1.9887916184793233,5854.019731000802,4959.063502685108,0.15287892242254095,50
real_semisynth,Binder Dividers SKU 10,dip,500,1395.3285773659259,142.26421412293257,2.7906571547318517,6504.422840263055,5109.094262897129,0.21451996766395576,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,500,2202.6004425670517,16.612911185468693,4.405200885134104,6504.578581138337,4301.978138571287,0.33862308143283043,50
real_semisynth,Binder Dividers SKU 10,mymethod,500,926.2459709668088,32.87531088157391,1.8524919419336177,6504.445460870826,5578.1994899040155,0.1424019889995052,50
real_semisynth,Binder Dividers SKU 10,dip,550,1548.358625349519,144.42370203327582,2.815197500635489,7154.919827445327,5606.561202095809,0.2164047484376023,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,550,2367.810276328458,19.471966356189707,4.3051095933244685,7155.051941132309,4787.241664803852,0.3309284538825786,50
real_semisynth,Binder Dividers SKU 10,mymethod,550,957.9790265271861,36.90357232325131,1.7417800482312473,7154.910604795251,6196.931578268067,0.13389112449359528,50
real_semisynth,Binder Dividers SKU 10,dip,600,1680.1495455841969,142.03076443731393,2.8002492426403283,7805.37727943906,6125.227733854865,0.2152553919475552,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,600,2619.2115812389225,19.408371948869203,4.365352635398204,7805.514302148393,5186.302720909472,0.33555912907852975,50
real_semisynth,Binder Dividers SKU 10,mymethod,600,989.4197225716593,40.709051990197366,1.6490328709527655,7805.341162207686,6815.921439636025,0.12676188035985975,50
real_semisynth,Binder Dividers SKU 10,dip,650,1812.4890812782685,144.69236344697302,2.788444740428105,8455.812857863744,6643.323776585475,0.21434829646125486,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,650,2870.6603559724426,19.41076412794518,4.4164005476499115,8456.024132987535,5585.363777015092,0.33948109783341296,50
real_semisynth,Binder Dividers SKU 10,mymethod,650,1020.6095091226629,43.409205701237326,1.5701684755733274,8455.816685903284,7435.20717678062,0.12069910536543724,50
real_semisynth,Binder Dividers SKU 10,dip,700,1937.6371009187822,150.9526995513404,2.7680530013125457,9106.2758572907,7168.638756371915,0.21278040894922637,50
real_semisynth,Binder Dividers SKU 10,kernel_baseline,700,3122.0061939698417,19.398950075314765,4.460008848528346,9106.431027090553,5984.424833120712,0.3428353198615619,50
real_semisynth,Binder Dividers SKU 10,mymethod,700,1052.2558679335739,44.04295752422368,1.5032226684765342,9106.273156629746,8054.017288696172,0.11555285568910129,50
real_semisynth,Binder Dividers SKU 12,dip,100,136.9186628618644,13.034785841318604,1.3691866286186438,1765.2834046359342,1628.3647417740701,0.07756185919059383,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,100,256.2470649958956,8.90188745974405,2.562470649958956,1764.5599214947827,1508.3128564988872,0.14521868136890767,50
real_semisynth,Binder Dividers SKU 12,mymethod,100,137.93630490899687,12.335277148466432,1.3793630490899687,1765.2834046359342,1627.347099726937,0.07813833435852435,50
real_semisynth,Binder Dividers SKU 12,dip,150,233.05095054196215,16.5748954180482,1.553673003613081,2647.633983754854,2414.583033212892,0.0880223444675125,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,150,444.6902265222042,9.34902917464554,2.9646015101480283,2647.3740245795234,2202.683798057319,0.16797408390105867,50
real_semisynth,Binder Dividers SKU 12,mymethod,150,208.42959716857393,18.896552835290862,1.389530647790493,2647.859380356904,2439.42978318833,0.078716263678806,50
real_semisynth,Binder Dividers SKU 12,dip,200,317.5887805535039,29.43451031436391,1.5879439027675195,3529.994032049547,3212.405251496043,0.08996864517901434,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,200,537.5623704970661,12.324835380755914,2.6878118524853307,3529.391837142437,2991.8294666453708,0.15231019827265824,50
real_semisynth,Binder Dividers SKU 12,mymethod,200,274.9052210682109,20.289502489530438,1.3745261053410545,3530.000055051018,3255.0948339828083,0.07787683194929519,50
real_semisynth,Binder Dividers SKU 12,dip,250,396.11080510097645,45.93035819140431,1.5844432204039058,4412.185984622335,4016.075179521358,0.08977654307446015,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,250,651.3596854837933,16.206651110590155,2.605438741935173,4411.494338533304,3760.1346530495093,0.14765057721922678,50
real_semisynth,Binder Dividers SKU 12,mymethod,250,344.45929139498037,21.80448339896519,1.3778371655799215,4412.461359189466,4068.002067794485,0.07806511227063863,50
real_semisynth,Binder Dividers SKU 12,dip,300,497.9176618238994,48.60850194163181,1.659725539412998,5294.389625844063,4796.471964020163,0.09404628238793786,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,300,839.3925283620504,16.427903417616022,2.797975094540168,5293.898122969989,4454.50559460794,0.1585584967568536,50
real_semisynth,Binder Dividers SKU 12,mymethod,300,387.57163482535464,23.118272567793642,1.2919054494178488,5294.932291395163,4907.360656569808,0.07319671215724523,50
real_semisynth,Binder Dividers SKU 12,dip,350,571.3855371894206,53.43097016645138,1.6325301062554873,6176.889297439841,5605.503760250422,0.09250376843021048,50
real_semisynth,Binder Dividers SKU 12,kernel_baseline,350,1027.3301808043957,16.216659038271555,2.935229088012559,6176.206716970753,5148.876536166357,0.16633675456191188,50
real_semisynth,Binder Dividers SKU 12,mymethod,350,392.4819362735973,25.801734490359458,1.1213769607817066,6177.45691763756,5784.974981363962,0.06353454852157736,50
real_semisynth,Binder Dividers SKU 12,dip,400,644.0024549005022,59.132869117233234,1.6100061372512555,7059.14969552082,6415.147240620318,0.09122946568325863,50
